Dataset,Sample Method,Preprocessing,Learner,Recall,Precision,Accuracy,F1 Score
Turma 2,10 Fold,ANOVA Top 10,Neural Network,1.0,0.91429,0.96512,0.95522
Turma 2,10 Fold,ANOVA Top 10,Random Forest,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,ANOVA Top 10,Tree,0.9375,0.88235,0.93023,0.90909
Turma 2,10 Fold,ANOVA Top 10,kNN,0.9375,0.9375,0.95349,0.9375
Turma 2,10 Fold,ANOVA Top 10,Naive Bayes,1.0,0.8,0.90698,0.88889
Turma 2,10 Fold,ANOVA Top 10,SVM,0.9375,0.9375,0.95349,0.9375
Turma 2,10 Fold,ANOVA Top 10,Gradient Boosting,0.9375,0.88235,0.93023,0.90909
Turma 2,10 Fold,ANOVA Top 10,AdaBoost,0.90625,0.90625,0.93023,0.90625
Turma 2,10 Fold,ANOVA Top 10,Logistic Regression,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,Chi2 Top 10,Neural Network,1.0,0.88889,0.95349,0.94118
Turma 2,10 Fold,Chi2 Top 10,Random Forest,0.9375,0.9375,0.95349,0.9375
Turma 2,10 Fold,Chi2 Top 10,Tree,0.9375,0.88235,0.93023,0.90909
Turma 2,10 Fold,Chi2 Top 10,kNN,0.9375,0.9375,0.95349,0.9375
Turma 2,10 Fold,Chi2 Top 10,Naive Bayes,1.0,0.78049,0.89535,0.87671
Turma 2,10 Fold,Chi2 Top 10,SVM,0.9375,0.9375,0.95349,0.9375
Turma 2,10 Fold,Chi2 Top 10,Gradient Boosting,0.9375,0.88235,0.93023,0.90909
Turma 2,10 Fold,Chi2 Top 10,AdaBoost,0.90625,0.90625,0.93023,0.90625
Turma 2,10 Fold,Chi2 Top 10,Logistic Regression,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,Chi2 Top 5,Neural Network,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,Chi2 Top 5,Random Forest,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,Chi2 Top 5,Tree,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,Chi2 Top 5,kNN,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,Chi2 Top 5,Naive Bayes,0.9375,0.81081,0.89535,0.86957
Turma 2,10 Fold,Chi2 Top 5,SVM,0.9375,0.9375,0.95349,0.9375
Turma 2,10 Fold,Chi2 Top 5,Gradient Boosting,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,Chi2 Top 5,AdaBoost,0.90625,0.90625,0.93023,0.90625
Turma 2,10 Fold,Chi2 Top 5,Logistic Regression,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,ANOVA Top 5,Neural Network,1.0,0.91429,0.96512,0.95522
Turma 2,10 Fold,ANOVA Top 5,Random Forest,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,ANOVA Top 5,Tree,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,ANOVA Top 5,kNN,0.9375,0.90909,0.94186,0.92308
Turma 2,10 Fold,ANOVA Top 5,Naive Bayes,0.9375,0.83333,0.90698,0.88235
